State/UT,2018,2019,2020,2021,2022
Jammu & Kashmir,6824,7003,7189,7211,7396
Himachal Pradesh,4624,4744,4856,4953,5058
Punjab,21278,21763,22276,22786,23301
Chandigarh,532,548,564,582,598
Uttaranchal,6028,6184,6337,6500,6655
Haryana,15255,15684,16109,16543,16997
Delhi,13218,13644,14057,14494,14917
Rajasthan,37123,38100,39111,40117,41167
Uttar Pradesh,106350,108911,111491,114128,116818
Bihar,54566,56028,57531,59043,60629
Sikkim,270,275,276,288,308
Arunachal Pradesh,612,622,635,655,670
Nagaland,961,982,1008,1029,1060
Manipur,1047,1070,1105,1175,1220
Mizoram,1119,1149,1183,1231,1271
Tripura,1496,1526,1571,1600,1651
Meghalaya,1791,1837,1887,1928,1980
Assam,21715,22261,22824,23395,23974
West Bengal,56988,58368,59786,61213,62652
Jharkhand,17710,18215,18716,19241,19766
Orissa,26810,27427,28024,28656,29287
Chhattisgarh,14522,14891,15279,15666,16057
Madhya Pradesh,40798,41876,42966,44056,45176
Gujarat,36325,37300,38306,39328,40356
Daman,55,63,66,70,77
Dadra & Nagar Haveli,92,102,109,117,128
Maharashtra,60814,62291,63797,65326,66879
Telangana ,24788,25408,26038,26681,27339
Andhra Pradesh,36884,37724,38582,39443,40307
Karnataka,44775,45926,47113,48290,49516
Goa,848,877,893,909,932
Lakshadweep,13,13,13,14,14
Kerala,30057,30615,31166,31713,32271
Tamil Nadu,45846,47075,48314,49571,50841
Pondicherry,794,820,852,879,905
Andaman & Nicobar Islands,193,195,200,205,214
Total,733139,751517,770230,789202,808558
